,RunId,iteration,Step,width,height,cooperation_reward,defected_reward,defection_reward,mutual_defection_reward,Is Alive,Cooperating,Defecting,Proportion,Altruism
0,0,0,25,10,10,0.0,0.0,0.0,0.0,100,100,0,100.0,450.0
1,1,0,25,10,10,0.0,0.0,0.0,0.25,100,0,100,0.0,0.0
2,2,0,25,10,10,0.0,0.0,0.0,0.5,100,0,100,0.0,0.0
3,3,0,25,10,10,0.0,0.0,0.0,0.75,100,0,100,0.0,0.0
4,4,0,25,10,10,0.0,0.0,0.25,0.0,46,0,46,0.0,0.0
5,5,0,25,10,10,0.0,0.0,0.25,0.25,100,0,100,0.0,0.0
6,6,0,25,10,10,0.0,0.0,0.25,0.5,100,0,100,0.0,0.0
7,7,0,25,10,10,0.0,0.0,0.25,0.75,100,0,100,0.0,0.0
8,8,0,25,10,10,0.0,0.0,0.5,0.0,53,0,53,0.0,0.0
9,9,0,25,10,10,0.0,0.0,0.5,0.25,100,0,100,0.0,0.0
10,10,0,25,10,10,0.0,0.0,0.5,0.5,100,0,100,0.0,0.0
11,11,0,25,10,10,0.0,0.0,0.5,0.75,100,0,100,0.0,0.0
12,12,0,25,10,10,0.0,0.0,0.75,0.0,59,0,59,0.0,0.0
13,13,0,25,10,10,0.0,0.0,0.75,0.25,100,0,100,0.0,0.0
14,14,0,25,10,10,0.0,0.0,0.75,0.5,100,0,100,0.0,0.0
15,15,0,25,10,10,0.0,0.0,0.75,0.75,100,0,100,0.0,0.0
16,16,0,25,10,10,0.0,0.25,0.0,0.0,43,43,0,100.0,193.5
17,17,0,25,10,10,0.0,0.25,0.0,0.25,100,0,100,0.0,0.0
18,18,0,25,10,10,0.0,0.25,0.0,0.5,100,0,100,0.0,0.0
19,19,0,25,10,10,0.0,0.25,0.0,0.75,100,0,100,0.0,0.0
20,20,0,25,10,10,0.0,0.25,0.25,0.0,74,62,12,83.78378378378379,252.5
21,21,0,25,10,10,0.0,0.25,0.25,0.25,100,0,100,0.0,0.0
22,22,0,25,10,10,0.0,0.25,0.25,0.5,100,0,100,0.0,0.0
23,23,0,25,10,10,0.0,0.25,0.25,0.75,100,0,100,0.0,0.0
24,24,0,25,10,10,0.0,0.25,0.5,0.0,48,0,48,0.0,0.0
25,25,0,25,10,10,0.0,0.25,0.5,0.25,100,0,100,0.0,0.0
26,26,0,25,10,10,0.0,0.25,0.5,0.5,100,0,100,0.0,0.0
27,27,0,25,10,10,0.0,0.25,0.5,0.75,100,0,100,0.0,0.0
28,28,0,25,10,10,0.0,0.25,0.75,0.0,53,0,53,0.0,0.0
29,29,0,25,10,10,0.0,0.25,0.75,0.25,100,0,100,0.0,0.0
30,30,0,25,10,10,0.0,0.25,0.75,0.5,100,0,100,0.0,0.0
31,31,0,25,10,10,0.0,0.25,0.75,0.75,100,0,100,0.0,0.0
32,32,0,25,10,10,0.0,0.5,0.0,0.0,48,48,0,100.0,216.0
33,33,0,25,10,10,0.0,0.5,0.0,0.25,56,56,0,100.0,252.0
34,34,0,25,10,10,0.0,0.5,0.0,0.5,100,0,100,0.0,0.0
35,35,0,25,10,10,0.0,0.5,0.0,0.75,100,0,100,0.0,0.0
36,36,0,25,10,10,0.0,0.5,0.25,0.0,44,44,0,100.0,198.0
37,37,0,25,10,10,0.0,0.5,0.25,0.25,95,0,95,0.0,0.0
38,38,0,25,10,10,0.0,0.5,0.25,0.5,100,0,100,0.0,0.0
39,39,0,25,10,10,0.0,0.5,0.25,0.75,100,0,100,0.0,0.0
40,40,0,25,10,10,0.0,0.5,0.5,0.0,76,37,39,48.68421052631579,119.5
41,41,0,25,10,10,0.0,0.5,0.5,0.25,100,0,100,0.0,0.0
42,42,0,25,10,10,0.0,0.5,0.5,0.5,100,0,100,0.0,0.0
43,43,0,25,10,10,0.0,0.5,0.5,0.75,100,0,100,0.0,0.0
44,44,0,25,10,10,0.0,0.5,0.75,0.0,71,14,57,19.718309859154928,36.5
